Title,Year,Age,Platform,Occurrence,Rating type,Score
Breaking Bad,2008,18+,Netflix,1,Rotten Tomatoes,100
Stranger Things,2016,16+,Netflix,1,Rotten Tomatoes,96
Attack on Titan,2013,18+,Netflix,1,Rotten Tomatoes,95
Better Call Saul,2015,18+,Netflix,1,Rotten Tomatoes,94
Dark,2017,16+,Netflix,1,Rotten Tomatoes,93
Avatar: The Last Airbender,2005,7+,Netflix,1,Rotten Tomatoes,93
Peaky Blinders,2013,18+,Netflix,1,Rotten Tomatoes,93
The Walking Dead,2010,18+,Netflix,1,Rotten Tomatoes,93
Black Mirror,2011,18+,Netflix,1,Rotten Tomatoes,92
The Queen's Gambit,2020,18+,Netflix,1,Rotten Tomatoes,92
Mindhunter,2017,18+,Netflix,1,Rotten Tomatoes,90
Community,2009,7+,Netflix,1,Rotten Tomatoes,90
Narcos,2015,18+,Netflix,1,Rotten Tomatoes,90
Shameless,2011,18+,Netflix,1,Rotten Tomatoes,90
Money Heist,2017,18+,Netflix,1,Rotten Tomatoes,90
Marvel's Daredevil,2015,18+,Netflix,1,Rotten Tomatoes,90
Lucifer,2016,16+,Netflix,1,Rotten Tomatoes,90
Supernatural,2005,16+,Netflix,1,Rotten Tomatoes,89
The Witcher,2019,18+,Netflix,1,Rotten Tomatoes,89
Ozark,2017,18+,Netflix,1,Rotten Tomatoes,89
The Crown,2016,18+,Netflix,1,Rotten Tomatoes,89
Cobra Kai,2018,16+,Netflix,1,Rotten Tomatoes,89
The Blacklist,2013,16+,Netflix,1,Rotten Tomatoes,88
The Flash,2014,16+,Netflix,1,Rotten Tomatoes,88
Outlander,2014,18+,Netflix,1,Rotten Tomatoes,88
Fullmetal Alchemist: Brotherhood,2009,16+,Netflix,1,Rotten Tomatoes,88
The Good Place,2016,16+,Netflix,1,Rotten Tomatoes,88
House of Cards,2013,18+,Netflix,1,Rotten Tomatoes,88
Atypical,2017,16+,Netflix,1,Rotten Tomatoes,88
Grey's Anatomy,2005,16+,Netflix,1,Rotten Tomatoes,87
Arrested Development,2003,16+,Netflix,1,Rotten Tomatoes,87
Lupin,2021,18+,Netflix,1,Rotten Tomatoes,87
The Umbrella Academy,2019,16+,Netflix,1,Rotten Tomatoes,87
Orange Is the New Black,2013,18+,Netflix,1,Rotten Tomatoes,87
The Vampire Diaries,2009,16+,Netflix,1,Rotten Tomatoes,86
Demon Slayer: Kimetsu no Yaiba,2019,18+,Netflix,1,Rotten Tomatoes,86
The Last Dance,2020,16+,Netflix,1,Rotten Tomatoes,86
American Horror Story,2011,18+,Netflix,1,Rotten Tomatoes,86
Elite,2018,18+,Netflix,1,Rotten Tomatoes,86
BoJack Horseman,2014,18+,Netflix,1,Rotten Tomatoes,86
Broadchurch,2013,18+,Netflix,1,Rotten Tomatoes,86
The IT Crowd,2006,16+,Netflix,1,Rotten Tomatoes,86
When They See Us,2019,18+,Netflix,1,Rotten Tomatoes,86
"Love, Death & Robots",2019,18+,Netflix,1,Rotten Tomatoes,86
Schitt's Creek,2015,16+,Netflix,1,Rotten Tomatoes,86
Marvel's Agents of S.H.I.E.L.D.,2013,16+,Netflix,1,Rotten Tomatoes,86
Never Have I Ever,2020,16+,Netflix,1,Rotten Tomatoes,86
The 100,2014,16+,Netflix,1,Rotten Tomatoes,86
American Crime Story,2016,18+,Netflix,1,Rotten Tomatoes,85
The Last Kingdom,2015,18+,Netflix,1,Rotten Tomatoes,85
The End of the F***ing World,2017,18+,Netflix,1,Rotten Tomatoes,85
New Girl,2011,16+,Netflix,1,Rotten Tomatoes,85
Penny Dreadful,2014,18+,Netflix,1,Rotten Tomatoes,85
Marvel's The Punisher,2017,18+,Netflix,1,Rotten Tomatoes,85
Evil,2019,18+,Netflix,1,Rotten Tomatoes,85
YOU,2018,18+,Netflix,1,Rotten Tomatoes,85
Sense8,2015,18+,Netflix,1,Rotten Tomatoes,84
Making a Murderer,2015,16+,Netflix,1,Rotten Tomatoes,84
Unbelievable,2019,18+,Netflix,1,Rotten Tomatoes,84
Arrow,2012,16+,Netflix,1,Rotten Tomatoes,84
Sex Education,2019,18+,Netflix,1,Rotten Tomatoes,84
Marvel's Jessica Jones,2015,18+,Netflix,1,Rotten Tomatoes,84
Sweet Tooth,2021,16+,Netflix,1,Rotten Tomatoes,84
Good Girls,2018,16+,Netflix,1,Rotten Tomatoes,84
Death Note,2006,16+,Netflix,1,Rotten Tomatoes,84
Gilmore Girls,2000,16+,Netflix,1,Rotten Tomatoes,84
The Legend of Korra,2012,7+,Netflix,1,Rotten Tomatoes,83
How to Get Away with Murder,2014,16+,Netflix,1,Rotten Tomatoes,83
Master of None,2015,18+,Netflix,1,Rotten Tomatoes,83
Chappelle's Show,2003,18+,Netflix,1,Rotten Tomatoes,83
One-Punch Man,2015,7+,Netflix,1,Rotten Tomatoes,83
Downton Abbey,2010,16+,Netflix,1,Rotten Tomatoes,83
Gotham,2014,16+,Netflix,1,Rotten Tomatoes,83
Pose,2018,18+,Netflix,1,Rotten Tomatoes,83
Bodyguard,2018,18+,Netflix,1,Rotten Tomatoes,83
Altered Carbon,2018,18+,Netflix,1,Rotten Tomatoes,83
Ash vs Evil Dead,2015,18+,Netflix,1,Rotten Tomatoes,83
The Sinner,2017,16+,Netflix,1,Rotten Tomatoes,83
Our Planet,2019,all,Netflix,1,Rotten Tomatoes,82
Narcos: Mexico,2018,18+,Netflix,1,Rotten Tomatoes,82
Shadow and Bone,2021,16+,Netflix,1,Rotten Tomatoes,82
Castlevania,2017,18+,Netflix,1,Rotten Tomatoes,82
The Kominsky Method,2018,18+,Netflix,1,Rotten Tomatoes,82
Hunter x Hunter,2011,16+,Netflix,1,Rotten Tomatoes,82
Dead to Me,2019,18+,Netflix,1,Rotten Tomatoes,82
The Haunting of Hill House,2018,18+,Netflix,1,Rotten Tomatoes,82
Russian Doll,2019,18+,Netflix,1,Rotten Tomatoes,82
Kingdom,2019,18+,Netflix,1,Rotten Tomatoes,82
Naruto,2002,7+,Netflix,1,Rotten Tomatoes,81
NCIS,2003,16+,Netflix,1,Rotten Tomatoes,81
Manifest,2018,16+,Netflix,1,Rotten Tomatoes,81
Halt and Catch Fire,2014,16+,Netflix,1,Rotten Tomatoes,81
After Life,2019,18+,Netflix,1,Rotten Tomatoes,81
Riverdale,2017,16+,Netflix,1,Rotten Tomatoes,81
Big Mouth,2017,18+,Netflix,1,Rotten Tomatoes,81
I Think You Should Leave with Tim Robinson,2019,18+,Netflix,1,Rotten Tomatoes,81
Derry Girls,2018,16+,Netflix,1,Rotten Tomatoes,81
The Promised Neverland,2019,18+,Netflix,1,Rotten Tomatoes,81
Lost in Space,2018,7+,Netflix,1,Rotten Tomatoes,80
Jane the Virgin,2014,16+,Netflix,1,Rotten Tomatoes,80
Godless,2017,18+,Netflix,1,Rotten Tomatoes,80
The OA,2016,18+,Netflix,1,Rotten Tomatoes,80
DC's Legends of Tomorrow,2016,16+,Netflix,1,Rotten Tomatoes,80
Sacred Games,2018,18+,Netflix,1,Rotten Tomatoes,80
iZombie,2015,16+,Netflix,1,Rotten Tomatoes,80
Longmire,2012,16+,Netflix,1,Rotten Tomatoes,80
Happy Endings,2011,16+,Netflix,1,Rotten Tomatoes,80
Into the Badlands,2015,16+,Netflix,1,Rotten Tomatoes,80
The Originals,2013,16+,Netflix,1,Rotten Tomatoes,80
Anne with an E,2017,all,Netflix,1,Rotten Tomatoes,80
Grace and Frankie,2015,18+,Netflix,1,Rotten Tomatoes,80
Chilling Adventures of Sabrina,2018,16+,Netflix,1,Rotten Tomatoes,80
Queen of the South,2016,16+,Netflix,1,Rotten Tomatoes,79
A Series of Unfortunate Events,2017,7+,Netflix,1,Rotten Tomatoes,79
Unorthodox,2020,18+,Netflix,1,Rotten Tomatoes,79
Outer Banks,2020,18+,Netflix,1,Rotten Tomatoes,79
13 Reasons Why,2017,18+,Netflix,1,Rotten Tomatoes,79
Unbreakable Kimmy Schmidt,2015,16+,Netflix,1,Rotten Tomatoes,79
Marvel's Luke Cage,2016,18+,Netflix,1,Rotten Tomatoes,79
GLOW,2017,18+,Netflix,1,Rotten Tomatoes,79
Borgen,2010,18+,Netflix,1,Rotten Tomatoes,79
The 4400,2004,7+,Netflix,1,Rotten Tomatoes,79
Alias Grace,2017,18+,Netflix,1,Rotten Tomatoes,79
All American,2018,16+,Netflix,1,Rotten Tomatoes,79
Santa Clarita Diet,2017,18+,Netflix,1,Rotten Tomatoes,79
Reign,2013,16+,Netflix,1,Rotten Tomatoes,78
Maniac,2018,18+,Netflix,1,Rotten Tomatoes,78
Dark Matter,2015,18+,Netflix,1,Rotten Tomatoes,78
"Tiger King: Murder, Mayhem and Madness",2020,18+,Netflix,1,Rotten Tomatoes,78
Call the Midwife,2012,16+,Netflix,1,Rotten Tomatoes,78
Queer Eye,2018,16+,Netflix,1,Rotten Tomatoes,78
American Vandal,2017,16+,Netflix,1,Rotten Tomatoes,78
Wynonna Earp,2016,16+,Netflix,1,Rotten Tomatoes,78
Marvel's The Defenders,2017,18+,Netflix,1,Rotten Tomatoes,78
HAPPY!,2017,18+,Netflix,1,Rotten Tomatoes,77
Haikyu!!,2014,16+,Netflix,1,Rotten Tomatoes,77
Colony,2016,16+,Netflix,1,Rotten Tomatoes,77
Heartland,2007,7+,Netflix,1,Rotten Tomatoes,77
Alone,2015,16+,Netflix,1,Rotten Tomatoes,77
Marco Polo,2014,18+,Netflix,1,Rotten Tomatoes,77
Wild Wild Country,2018,16+,Netflix,1,Rotten Tomatoes,77
The Dragon Prince,2018,7+,Netflix,1,Rotten Tomatoes,77
Locke & Key,2020,16+,Netflix,1,Rotten Tomatoes,77
Love,2016,18+,Netflix,1,Rotten Tomatoes,77
One Day at a Time,2017,7+,Netflix,1,Rotten Tomatoes,77
Feel Good,2020,18+,Netflix,1,Rotten Tomatoes,77
Fauda,2015,16+,Netflix,1,Rotten Tomatoes,77
The Dark Crystal: Age of Resistance,2019,7+,Netflix,1,Rotten Tomatoes,77
Top Boy,2011,18+,Netflix,1,Rotten Tomatoes,77
I Am Not Okay with This,2020,18+,Netflix,1,Rotten Tomatoes,77
Supergirl,2015,16+,Netflix,1,Rotten Tomatoes,77
The Shannara Chronicles,2016,16+,Netflix,1,Rotten Tomatoes,77
Designated Survivor,2016,7+,Netflix,1,Rotten Tomatoes,77
